feeder,date,feeder_id,total_length_km,n_secondary_subs,n_switches,avg_segment_m,bbox_area_km2,year,month,day_of_week,dow,day_of_year,is_weekend,month_sin,month_cos,dow_sin,dow_cos,season_long_dry,season_long_rains,season_short_dry,season_short_rains,max_demand_kva,affected_customers,outages_last_7d,outages_last_30d,duration_last_7d_hrs,days_since_last_outage,consecutive_clean_days,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration,heavy_rain_day,high_wind_day,is_public_holiday,is_long_weekend,days_to_next_holiday,days_since_holiday,feeder_outage_rate,storm_index,rain_season_interaction,demand_risk_score,overdue_pressure,length_x_outage_rate,outage_prob,outage_flag,fault_class,fault_label,crew_recommendation
HARDY EX LANGATA,2026-05-09,0,4.4877,28,8,41.55,3.2293,2026,5,5,5,129,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,0,0,4828.2,3056,0,3,0.0,10,10,3.2,3.55,8.8,3.0,0,0,0,0,14,14,0.074339,28.160000000000004,3.2,358.92265904217294,30,0.33361029306647605,0.31295647633611134,1,1,Loss of Supply,System engineers (grid-side fault)
HARDY EX LANGATA,2026-05-10,0,4.4877,28,8,41.55,3.2293,2026,5,6,6,130,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,4828.2,3056,0,3,0.0,10,10,1.7,3.51,8.2,3.6,0,0,0,0,14,14,0.074339,13.939999999999998,1.7,358.92265904217294,30,0.33361029306647605,0.3421022527155142,1,2,Controlled Interruption,Switching crew (planned interruption)
HARDY EX LANGATA,2026-05-11,0,4.4877,28,8,41.55,3.2293,2026,5,0,0,131,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,4828.2,3056,0,3,0.0,10,10,10.2,3.74,9.0,3.29,1,0,0,0,14,14,0.074339,91.8,10.2,358.92265904217294,30,0.33361029306647605,0.3923214285832138,1,2,Controlled Interruption,Switching crew (planned interruption)
HARDY EX LANGATA,2026-05-12,0,4.4877,28,8,41.55,3.2293,2026,5,1,1,132,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,1,0,0,4828.2,3056,0,3,0.0,10,10,15.8,3.53,8.5,2.85,1,0,0,0,14,14,0.074339,134.3,15.8,358.92265904217294,30,0.33361029306647605,0.41296702315611183,1,2,Controlled Interruption,Switching crew (planned interruption)
HARDY EX LANGATA,2026-05-13,0,4.4877,28,8,41.55,3.2293,2026,5,2,2,133,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,1,0,0,4828.2,3056,0,3,0.0,10,10,9.0,2.21,8.4,3.0,0,0,0,0,14,14,0.074339,75.60000000000001,9.0,358.92265904217294,30,0.33361029306647605,0.3671311284432859,1,2,Controlled Interruption,Switching crew (planned interruption)
HARDY EX LANGATA,2026-05-14,0,4.4877,28,8,41.55,3.2293,2026,5,3,3,134,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,1,0,0,4828.2,3056,0,3,0.0,10,10,6.6,3.0,8.3,3.0,0,0,0,0,14,14,0.074339,54.78,6.6,358.92265904217294,30,0.33361029306647605,0.35487555488685213,1,2,Controlled Interruption,Switching crew (planned interruption)
HARDY EX LANGATA,2026-05-15,0,4.4877,28,8,41.55,3.2293,2026,5,4,4,135,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,1,0,0,4828.2,3056,0,3,0.0,10,10,2.3,3.32,8.2,2.84,0,0,0,0,14,14,0.074339,18.859999999999996,2.3,358.92265904217294,30,0.33361029306647605,0.3230237187457523,1,2,Controlled Interruption,Switching crew (planned interruption)
KAREN HOSPITAL EX LANGATA,2026-05-09,1,4.882,40,12,45.2,4.5063,2026,5,5,5,129,1,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,0,0,854.2,1206,0,1,0.0,13,13,3.2,3.55,8.8,3.0,0,0,0,0,14,14,0.044317,28.160000000000004,3.2,37.85589706933524,13,0.21635739814152963,0.20931491306091804,0,0,No Outage Predicted,—
KAREN HOSPITAL EX LANGATA,2026-05-10,1,4.882,40,12,45.2,4.5063,2026,5,6,6,130,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,0,0,854.2,1206,0,1,0.0,13,13,1.7,3.51,8.2,3.6,0,0,0,0,14,14,0.044317,13.939999999999998,1.7,37.85589706933524,13,0.21635739814152963,0.25137675178762875,0,0,No Outage Predicted,—
KAREN HOSPITAL EX LANGATA,2026-05-11,1,4.882,40,12,45.2,4.5063,2026,5,0,0,131,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,1,0,0,854.2,1206,0,1,0.0,13,13,10.2,3.74,9.0,3.29,1,0,0,0,14,14,0.044317,91.8,10.2,37.85589706933524,13,0.21635739814152963,0.268731827442839,0,0,No Outage Predicted,—
