segment_id,feeder_name,lon_start,lat_start,lon_end,lat_end,length_m,polyline_idx
SEG_00000,KAREN HOSPITAL EX LANGATA,36.7973323,-1.3283975,36.7973751,-1.3289868,65.36,0
SEG_00001,KAREN HOSPITAL EX LANGATA,36.7973751,-1.3289868,36.7974943,-1.3295249,60.99,0
SEG_00002,KAREN HOSPITAL EX LANGATA,36.7974943,-1.3295249,36.7976469,-1.3299958,54.78,0
SEG_00003,NGEI EX LANGATA,36.7791739,-1.3309658,36.7802404,-1.3303632,136.17,3
SEG_00004,NDALATI EX LANGATA,36.7787204,-1.3102414,36.7787739,-1.3102839,7.58,2
SEG_00005,NDALATI EX LANGATA,36.7787739,-1.3102839,36.7792791,-1.3107023,72.83,2
SEG_00006,HARDY EX LANGATA,36.7897542,-1.3223366,36.7900467,-1.3221563,38.18,1
SEG_00007,HARDY EX LANGATA,36.7900467,-1.3221563,36.7898528,-1.321784,46.5,1
SEG_00008,HARDY EX LANGATA,36.7898528,-1.321784,36.7897652,-1.3216073,21.84,1
SEG_00009,HARDY EX LANGATA,36.7897652,-1.3216073,36.7900128,-1.3214751,31.21,1
SEG_00010,HARDY EX LANGATA,36.7900128,-1.3214751,36.7900787,-1.3214405,8.27,1
SEG_00011,HARDY EX LANGATA,36.7900787,-1.3214405,36.790154,-1.321462,8.72,1
SEG_00012,KAREN HOSPITAL EX LANGATA,36.7976469,-1.3299958,36.7987536,-1.329295,145.56,3
SEG_00013,KAREN HOSPITAL EX LANGATA,36.7987536,-1.329295,36.7987847,-1.3292608,5.13,3
SEG_00014,KAREN HOSPITAL EX LANGATA,36.7987847,-1.3292608,36.7987878,-1.3292108,5.53,3
SEG_00015,KAREN HOSPITAL EX LANGATA,36.7987878,-1.3292108,36.7987104,-1.3291078,14.29,3
SEG_00016,NDALATI EX LANGATA,36.7847746,-1.318221,36.7845373,-1.3185197,42.31,16
SEG_00017,NDALATI EX LANGATA,36.780489,-1.3122037,36.7806224,-1.3118387,43.02,17
SEG_00018,NDALATI EX LANGATA,36.781684,-1.3120087,36.7816224,-1.312242,26.71,18
SEG_00019,NDALATI EX LANGATA,36.781479,-1.3116403,36.7813874,-1.3113087,38.08,19
SEG_00020,SOWETO EX LANGATA,36.7657752,-1.3634822,36.7655236,-1.3630724,53.29,10
SEG_00021,SOWETO EX LANGATA,36.7655236,-1.3630724,36.7650494,-1.3622379,106.34,10
SEG_00022,SOWETO EX LANGATA,36.7654418,-1.3654073,36.7648813,-1.3653417,62.83,5
SEG_00023,SOWETO EX LANGATA,36.7648813,-1.3653417,36.76381,-1.36522,120.02,5
SEG_00024,SOWETO EX LANGATA,36.76381,-1.36522,36.7632414,-1.3651564,63.7,6
SEG_00025,SOWETO EX LANGATA,36.7632414,-1.3651564,36.7626578,-1.3651891,65.07,6
SEG_00026,NDALATI EX LANGATA,36.779769,-1.311582,36.7806224,-1.3118387,99.15,26
SEG_00027,SOWETO EX LANGATA,36.7570351,-1.3396496,36.7567901,-1.3396094,27.64,9
SEG_00028,SOWETO EX LANGATA,36.7567901,-1.3396094,36.756898,-1.3390872,59.0,9
SEG_00029,SOWETO EX LANGATA,36.756898,-1.3390872,36.7569638,-1.3391021,7.52,9
