INCIDENCE,DESC_INCIDENCIA,DETECTION_DATE,FY,RESOLUTION_DATE,CAUSE_SUBTYPE,CAUSE_TYPE,CAUSE,CURRENT_STATUS,REGION,COUNTY,INCIDENCE_TYPE,SR_DURATION,MAX_DEMAND,AFFECTED_CUSTOMERS,INSTALATION,INSTALATION_1,PARENT,INSTALATION_TYPE,FBBU_NAME,MONTH_YEAR,DURATION_HRS,LOSS_GWHRS,LOSS_MILLION_KSH,NUMERATOR_SAIFI,NUMERATOR_SAIDI,hour,month,dow,outage_class,date,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration,heavy_rain_day,high_wind_day,is_public_holiday,is_long_weekend,days_to_next_holiday,days_since_holiday,day_of_week,day_of_year,year,is_weekend,month_sin,month_cos,dow_sin,dow_cos,hour_sin,hour_cos,season_long_dry,season_long_rains,season_short_dry,season_short_rains,max_demand_kva,affected_customers,feeder_id,total_length_km,n_secondary_subs,n_switches,avg_segment_m,bbox_area_km2,events_last_7d,events_last_30d,days_since_last,feeder_event_share,storm_index,rain_season_interaction,demand_load_factor
2939446,Incidence no: 2939446 has automatically been generated from shutdown  no: 67887,2022-07-14 09:00:00,2022,2022-07-14 15:38:00,Planned Outage,CONTROLLED INTERRUPTION,PLANNED OUTAGE,Resolved,Nairobi,Nairobi West County,Programmed,398,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,07-2022,6.63333333333333,0.00999179,0.13988506,2406,15959.8,9,7,3,2,2022-07-14,0.4,4.016217,9.9,3.1708732,0,0,0,0,26,43,3,195,2022,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.7071067811865476,-0.7071067811865475,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,0,30.0,0.12872340425531914,3.9600000000000004,0.0,0.0
2940767,Transient fault,2022-07-20 14:50:00,2022,2022-07-20 14:55:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,5,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,07-2022,0.0833333333333333,0.000125525,0.00175735,2406,200.5,14,7,2,1,2022-07-20,0.3,3.0594118,7.5,2.4609241,0,0,0,0,20,49,2,201,2022,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,1,6.0,0.12872340425531914,2.25,0.0,4828.2
2940803,Tree branch on the line,2022-07-20 14:55:00,2022,2022-07-20 16:40:00,Tree Branch on Power Line,TREE/ OBJECT CONTACT,TREE BRANCH ON POWER LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,105,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,07-2022,1.75,0.002636025,0.03690435,2406,4210.5,14,7,2,3,2022-07-20,0.3,3.0594118,7.5,2.4609241,0,0,0,0,20,49,2,201,2022,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,2,2,0.0,0.12872340425531914,2.25,0.0,9656.4
2943540,Local testing of AY1118 with closing failure,2022-08-02 11:11:00,2022,2022-08-02 11:12:00,Controlled System Operation,CONTROLLED INTERRUPTION,CONTROLLED TO CARRY OUT REPAIRS,Resolved,Nairobi,Nairobi West County,Non Programmed,1,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,08-2022,0.0166666666666667,2.5105e-05,0.00035147,2406,40.1,11,8,1,2,2022-08-02,5.0,3.1256998,7.6,1.7845008,0,0,0,0,7,62,1,214,2022,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,3,12.0,0.12872340425531914,38.0,0.0,14484.599999999999
2946034,Stay wire shorting with concrete poles,2022-08-14 17:01:00,2022,2022-08-14 18:35:00,Object on the line,TREE/ OBJECT CONTACT,OBJECT ON THE LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,94,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,08-2022,1.56666666666667,0.00235987,0.03303818,2406,3769.4,17,8,6,3,2022-08-14,0.3,2.9410882,7.8,2.9205887,0,0,0,0,27,4,6,226,2022,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.9659258262890683,-0.25881904510252063,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,3,12.0,0.12872340425531914,2.34,0.0,14484.599999999999
2950186,TRANSIENT FAULT,2022-09-03 06:29:00,2022,2022-09-03 06:31:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,2,1506.3,2406,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,09-2022,0.0333333333333333,5.021e-05,0.00070294,2406,80.2,6,9,5,1,2022-09-03,0.1,3.1953092,7.6,2.9715912,0,0,0,0,7,24,5,246,2022,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,19.0,0.12872340425531914,0.76,0.0,4828.2
2958759,Repair faulty LBS 1118,2022-10-12 12:34:00,2022,2022-10-12 13:47:00,Load Break Switch,EQUIPMENT FAILURE,FAULTY LBS SWITCH,Resolved,Nairobi,Nairobi West County,Non Programmed,73,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2022,1.21666666666667,0.001832665,0.02565731,2561,3115.88333333333,12,10,2,3,2022-10-12,0.0,4.0706263,10.4,5.7199497,0,1,0,0,8,2,2,285,2022,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,0,39.0,0.12872340425531914,0.0,0.0,0.0
2961901,Incidence no: 2961901 has automatically been generated from shutdown  no: 69387,2022-10-27 10:05:00,2022,2022-10-27 19:09:00,Planned Outage,CONTROLLED INTERRUPTION,PLANNED OUTAGE,Resolved,Nairobi,Nairobi West County,Programmed,544,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2022,9.06666666666667,0.01365712,0.19119968,2561,23219.7333333333,10,10,3,2,2022-10-27,1.9000001,4.753946,11.2,5.1586614,0,1,0,0,46,7,3,300,2022,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,14.0,0.12872340425531914,21.280001119999998,0.0,4828.2
2962271,Feeder off on syustained fault,2022-10-29 03:12:00,2022,2022-10-29 10:57:00,Tree Branch on Power Line,TREE/ OBJECT CONTACT,TREE BRANCH ON POWER LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,465,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2022,7.75,0.011673825,0.16343355,2561,19847.75,3,10,5,3,2022-10-29,0.2,4.060788,8.9,4.963509,0,0,0,0,44,9,5,302,2022,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.7071067811865475,0.7071067811865476,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,2,1.0,0.12872340425531914,1.7800000000000002,0.0,9656.4
2962405,Trip on fault,2022-10-29 16:03:00,2022,2022-10-29 16:41:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,38,1506.3,2561,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2022,0.633333333333333,0.00095399,0.01335586,2561,1621.96666666667,16,10,5,1,2022-10-29,0.2,4.060788,8.9,4.963509,0,0,0,0,44,9,5,302,2022,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,2,3,0.0,0.12872340425531914,1.7800000000000002,0.0,14484.599999999999
