date,is_public_holiday,is_long_weekend,holiday_name,days_to_next_holiday,days_since_holiday
2022-07-01,0,0,,39,30
2022-07-02,0,0,,38,31
2022-07-03,0,0,,37,32
2022-07-04,0,0,,36,33
2022-07-05,0,0,,35,34
2022-07-06,0,0,,34,35
2022-07-07,0,0,,33,36
2022-07-08,0,0,,32,37
2022-07-09,0,0,,31,38
2022-07-10,0,0,,30,39
2022-07-11,0,0,,29,40
2022-07-12,0,0,,28,41
2022-07-13,0,0,,27,42
2022-07-14,0,0,,26,43
2022-07-15,0,0,,25,44
2022-07-16,0,0,,24,45
2022-07-17,0,0,,23,46
2022-07-18,0,0,,22,47
2022-07-19,0,0,,21,48
2022-07-20,0,0,,20,49
2022-07-21,0,0,,19,50
2022-07-22,0,0,,18,51
2022-07-23,0,0,,17,52
2022-07-24,0,0,,16,53
2022-07-25,0,0,,15,54
2022-07-26,0,0,,14,55
2022-07-27,0,0,,13,56
2022-07-28,0,0,,12,57
2022-07-29,0,0,,11,58
2022-07-30,0,0,,10,59
2022-07-31,0,0,,9,60
2022-08-01,0,0,,8,61
2022-08-02,0,0,,7,62
2022-08-03,0,0,,6,63
2022-08-04,0,0,,5,64
2022-08-05,0,0,,4,65
2022-08-06,0,0,,3,66
2022-08-07,0,0,,2,67
2022-08-08,0,0,,1,68
2022-08-09,1,1,General Election Day,1,69
2022-08-10,1,1,General Election Day (observed),31,1
2022-08-11,0,0,,30,1
2022-08-12,0,0,,29,2
2022-08-13,0,0,,28,3
2022-08-14,0,0,,27,4
2022-08-15,0,0,,26,5
2022-08-16,0,0,,25,6
2022-08-17,0,0,,24,7
2022-08-18,0,0,,23,8
2022-08-19,0,0,,22,9
2022-08-20,0,0,,21,10
2022-08-21,0,0,,20,11
2022-08-22,0,0,,19,12
2022-08-23,0,0,,18,13
2022-08-24,0,0,,17,14
2022-08-25,0,0,,16,15
2022-08-26,0,0,,15,16
2022-08-27,0,0,,14,17
2022-08-28,0,0,,13,18
2022-08-29,0,0,,12,19
2022-08-30,0,0,,11,20
2022-08-31,0,0,,10,21
2022-09-01,0,0,,9,22
2022-09-02,0,0,,8,23
2022-09-03,0,0,,7,24
2022-09-04,0,0,,6,25
2022-09-05,0,0,,5,26
2022-09-06,0,0,,4,27
2022-09-07,0,0,,3,28
2022-09-08,0,0,,2,29
2022-09-09,0,1,,1,30
2022-09-10,1,1,Day of Mourning for Queen Elizabeth II,1,31
2022-09-11,1,1,Day of Mourning for Queen Elizabeth II,1,1
2022-09-12,1,1,Day of Mourning for Queen Elizabeth II,1,1
2022-09-13,1,1,Inauguration Day,27,1
2022-09-14,0,0,,26,1
2022-09-15,0,0,,25,2
2022-09-16,0,0,,24,3
2022-09-17,0,0,,23,4
2022-09-18,0,0,,22,5
2022-09-19,0,0,,21,6
2022-09-20,0,0,,20,7
2022-09-21,0,0,,19,8
2022-09-22,0,0,,18,9
2022-09-23,0,0,,17,10
2022-09-24,0,0,,16,11
2022-09-25,0,0,,15,12
2022-09-26,0,0,,14,13
2022-09-27,0,0,,13,14
2022-09-28,0,0,,12,15
2022-09-29,0,0,,11,16
2022-09-30,0,0,,10,17
2022-10-01,0,0,,9,18
2022-10-02,0,0,,8,19
2022-10-03,0,0,,7,20
2022-10-04,0,0,,6,21
2022-10-05,0,0,,5,22
2022-10-06,0,0,,4,23
2022-10-07,0,1,,3,24
2022-10-08,0,1,,2,25
2022-10-09,0,1,,1,26
2022-10-10,1,1,Utamaduni Day,10,27
2022-10-11,0,0,,9,1
2022-10-12,0,0,,8,2
2022-10-13,0,0,,7,3
2022-10-14,0,0,,6,4
2022-10-15,0,0,,5,5
2022-10-16,0,0,,4,6
2022-10-17,0,0,,3,7
2022-10-18,0,0,,2,8
2022-10-19,0,0,,1,9
2022-10-20,1,1,Mashujaa Day,53,10
2022-10-21,0,0,,52,1
2022-10-22,0,0,,51,2
2022-10-23,0,0,,50,3
2022-10-24,0,0,,49,4
2022-10-25,0,0,,48,5
2022-10-26,0,0,,47,6
2022-10-27,0,0,,46,7
2022-10-28,0,0,,45,8
2022-10-29,0,0,,44,9
2022-10-30,0,0,,43,10
2022-10-31,0,0,,42,11
2022-11-01,0,0,,41,12
2022-11-02,0,0,,40,13
2022-11-03,0,0,,39,14
2022-11-04,0,0,,38,15
2022-11-05,0,0,,37,16
2022-11-06,0,0,,36,17
2022-11-07,0,0,,35,18
2022-11-08,0,0,,34,19
2022-11-09,0,0,,33,20
2022-11-10,0,0,,32,21
2022-11-11,0,0,,31,22
2022-11-12,0,0,,30,23
2022-11-13,0,0,,29,24
2022-11-14,0,0,,28,25
2022-11-15,0,0,,27,26
2022-11-16,0,0,,26,27
2022-11-17,0,0,,25,28
2022-11-18,0,0,,24,29
2022-11-19,0,0,,23,30
2022-11-20,0,0,,22,31
2022-11-21,0,0,,21,32
2022-11-22,0,0,,20,33
2022-11-23,0,0,,19,34
2022-11-24,0,0,,18,35
2022-11-25,0,0,,17,36
2022-11-26,0,0,,16,37
2022-11-27,0,0,,15,38
2022-11-28,0,0,,14,39
2022-11-29,0,0,,13,40
2022-11-30,0,0,,12,41
2022-12-01,0,0,,11,42
2022-12-02,0,0,,10,43
2022-12-03,0,0,,9,44
2022-12-04,0,0,,8,45
2022-12-05,0,0,,7,46
2022-12-06,0,0,,6,47
2022-12-07,0,0,,5,48
2022-12-08,0,0,,4,49
2022-12-09,0,1,,3,50
2022-12-10,0,1,,2,51
2022-12-11,0,1,,1,52
2022-12-12,1,1,Jamhuri Day,13,53
2022-12-13,0,0,,12,1
2022-12-14,0,0,,11,2
2022-12-15,0,0,,10,3
2022-12-16,0,0,,9,4
2022-12-17,0,0,,8,5
2022-12-18,0,0,,7,6
2022-12-19,0,0,,6,7
2022-12-20,0,0,,5,8
2022-12-21,0,0,,4,9
2022-12-22,0,0,,3,10
2022-12-23,0,1,,2,11
2022-12-24,0,1,,1,12
2022-12-25,1,1,Christmas Day,1,13
2022-12-26,1,1,Boxing Day,1,1
2022-12-27,1,1,Christmas Day (observed),5,1
2022-12-28,0,0,,4,1
2022-12-29,0,0,,3,2
2022-12-30,0,1,,2,3
2022-12-31,0,1,,1,4
2023-01-01,1,1,New Year's Day,1,5
2023-01-02,1,1,New Year's Day (observed),95,1
2023-01-03,0,0,,94,1
2023-01-04,0,0,,93,2
2023-01-05,0,0,,92,3
2023-01-06,0,0,,91,4
2023-01-07,0,0,,90,5
2023-01-08,0,0,,89,6
2023-01-09,0,0,,88,7
2023-01-10,0,0,,87,8
2023-01-11,0,0,,86,9
2023-01-12,0,0,,85,10
2023-01-13,0,0,,84,11
2023-01-14,0,0,,83,12
2023-01-15,0,0,,82,13
2023-01-16,0,0,,81,14
2023-01-17,0,0,,80,15
2023-01-18,0,0,,79,16
2023-01-19,0,0,,78,17
2023-01-20,0,0,,77,18
2023-01-21,0,0,,76,19
2023-01-22,0,0,,75,20
2023-01-23,0,0,,74,21
2023-01-24,0,0,,73,22
2023-01-25,0,0,,72,23
2023-01-26,0,0,,71,24
2023-01-27,0,0,,70,25
2023-01-28,0,0,,69,26
2023-01-29,0,0,,68,27
2023-01-30,0,0,,67,28
2023-01-31,0,0,,66,29
2023-02-01,0,0,,65,30
2023-02-02,0,0,,64,31
2023-02-03,0,0,,63,32
2023-02-04,0,0,,62,33
2023-02-05,0,0,,61,34
2023-02-06,0,0,,60,35
2023-02-07,0,0,,59,36
2023-02-08,0,0,,58,37
2023-02-09,0,0,,57,38
2023-02-10,0,0,,56,39
2023-02-11,0,0,,55,40
2023-02-12,0,0,,54,41
2023-02-13,0,0,,53,42
2023-02-14,0,0,,52,43
2023-02-15,0,0,,51,44
2023-02-16,0,0,,50,45
2023-02-17,0,0,,49,46
2023-02-18,0,0,,48,47
2023-02-19,0,0,,47,48
2023-02-20,0,0,,46,49
2023-02-21,0,0,,45,50
2023-02-22,0,0,,44,51
2023-02-23,0,0,,43,52
2023-02-24,0,0,,42,53
2023-02-25,0,0,,41,54
2023-02-26,0,0,,40,55
2023-02-27,0,0,,39,56
