node_id,node_type,feeder_name,lon,lat,utm_x,utm_y,attributes,block_name
NODE_0000,switch_isolator,KUWINDA EX LANGATA,36.7716118,-1.3208045,252038.75,9853899.97,Switch Number=OD,SIMBOLOS_L_1484
NODE_0001,switch_isolator,KUWINDA EX LANGATA,36.7721854,-1.3194461,252102.48,9854050.28,Switch Number=Y190,SIMBOLOS_L_1484
NODE_0002,switch_isolator,KUWINDA EX LANGATA,36.7728208,-1.3193585,252173.2,9854060.04,Switch Number=OD,SIMBOLOS_L_1484
NODE_0003,switch_isolator,NDALATI EX LANGATA,36.773683,-1.3081171,252268.09,9855303.59,Switch Number=Y5401,SIMBOLOS_L_1484
NODE_0004,switch_isolator,NDALATI EX LANGATA,36.7746104,-1.3130152,252371.82,9854761.88,Switch Number=Y5302,SIMBOLOS_L_1484
NODE_0005,switch_isolator,KUWINDA EX LANGATA,36.7753597,-1.319998,252455.93,9853989.56,Switch Number=TAPLIN,SIMBOLOS_L_1484
NODE_0006,switch_isolator,NDALATI EX LANGATA,36.7769085,-1.3164659,252628.01,9854380.41,Switch Number=Y5408,SIMBOLOS_L_1484
NODE_0007,switch_isolator,NDALATI EX LANGATA,36.7771794,-1.3180499,252658.32,9854205.22,Switch Number=Y5301,SIMBOLOS_L_1484
NODE_0008,switch_isolator,NDALATI EX LANGATA,36.7779744,-1.3096176,252746.0,9855138.03,Switch Number=OSM NO 075,SIMBOLOS_L_1484
NODE_0009,switch_isolator,NDALATI EX LANGATA,36.7780434,-1.3096775,252753.69,9855131.42,Switch Number=Y5179,SIMBOLOS_L_1484
NODE_0010,switch_isolator,NDALATI EX LANGATA,36.7782107,-1.3081123,252772.16,9855304.57,Switch Number=Y5050,SIMBOLOS_L_1484
NODE_0011,switch_isolator,KUWINDA EX LANGATA,36.7791944,-1.3244937,252883.28,9853492.65,Switch Number=Y2099,SIMBOLOS_L_1484
NODE_0012,switch_isolator,NDALATI EX LANGATA,36.7835722,-1.3226436,253370.48,9853697.72,Switch Number=Y195,SIMBOLOS_L_1484
NODE_0013,switch_isolator,NDALATI EX LANGATA,36.7838033,-1.3227202,253396.22,9853689.28,Switch Number=AY195,SIMBOLOS_L_1484
NODE_0014,switch_isolator,NDALATI EX LANGATA,36.7875661,-1.314156,253814.29,9854636.96,Switch Number=Y5405,SIMBOLOS_L_1484
NODE_0015,switch_isolator,NDALATI EX LANGATA,36.7876915,-1.3140152,253828.23,9854652.55,Switch Number=Y182390,SIMBOLOS_L_1484
NODE_0016,switch_isolator,HARDY EX LANGATA,36.7879693,-1.3200536,253859.76,9853984.66,Switch Number=Y150,SIMBOLOS_L_1484
NODE_0017,switch_isolator,HARDY EX LANGATA,36.7895571,-1.3221021,254036.72,9853758.22,Switch Number=Y152,SIMBOLOS_L_1484
NODE_0018,switch_isolator,HARDY EX LANGATA,36.7897207,-1.3223573,254054.96,9853730.01,Switch Number=Y187,SIMBOLOS_L_1484
